Demo_ID,Group,Smoothness,SPARC,Ellipsoid_Volume_95,Kinematic_SampEn,Total_Path_Length
0,Global_Adaptive,4.944703887318818,-3.7654227909686484,-7.236075107057329,0.6286086594223741,0.04581191303160152
1,Global_Adaptive,6.145227311178622,-4.55671057861657,-7.057518692099495,0.5068768825197905,0.0752082912700227
2,Global_Adaptive,5.335854115942591,-3.8162901263904687,-7.3109396164932905,0.7837917523878258,0.05435083486603262
3,Global_Adaptive,4.828308149307285,-3.7695939375247867,-7.062526476611761,0.7495059572412566,0.06444660758145374
4,Global_Adaptive,5.551603823017374,-4.783373185191743,-7.1754444641583355,0.4661861105125622,0.06993966766201633
5,Phased_Adaptive,2.8164933570098474,-5.482317004825579,-8.035896633799672,0.6931471805599453,0.03135856704318758
6,Phased_Adaptive,2.7697594895816,-4.1118723501547665,-7.684566865014713,0.6931471805599453,0.022483166907447887
7,Phased_Adaptive,2.506521721579872,-5.319016598642378,-7.913346909209554,0.42039158968300494,0.025035202472060075
8,Phased_Adaptive,2.3925144484235634,-4.246405882059086,-7.908515482620854,1.0986122886681098,0.0209850976863834
9,Phased_Adaptive,2.2929897800986274,-5.0395652500883354,-8.382709356661445,0.6931471805599453,0.010706401520319948
10,Global_Adaptive,5.584309890445968,-4.702942081829005,-7.481735788902395,0.6741250117936551,0.075612329117717
12,Global_Adaptive,4.633441503690109,-5.522044820770471,-7.661244918134382,1.071788637761964,0.056182083071390554
13,Global_Adaptive,4.749738545964466,-4.150988433582913,-6.978075051224253,0.5792552151245893,0.07627769704873938
14,Global_Adaptive,5.4813341250004255,-4.690896063011248,-7.219652829416982,0.966685687876876,0.11266595005546061
15,Phased_Adaptive,4.9352378244847275,-4.335652574670964,-7.542703527989644,0.55909222767816,0.0662707840133235
20,Phased_Adaptive,5.312160970150666,-3.870133964769316,-7.153437633731272,0.373214273586441,0.04139104929150396
22,Global_Adaptive,3.78128928683323,-6.064259195394926,-7.809145470785357,0.6931471805599453,0.028495389869937857
23,Global_Adaptive,3.3309725015440415,-4.697759579444564,-7.748568503228132,,0.02740411838910979
25,Global_Adaptive,4.020543393953303,-4.377934496330583,-6.783986670287999,0.5621189181535413,0.08019220443503314
26,Phased_Adaptive,2.57816618688372,-4.785102801998838,-8.199930027308268,,0.019175160958334228
27,Phased_Adaptive,4.467514872255207,-4.635100204679085,-7.56474722818687,0.33038288552845274,0.04412029551749565
29,Phased_Adaptive,3.509589764034289,-4.126282532200107,-7.42513887836455,0.6931471805599453,0.04094705963208525
31,Global_Adaptive,4.940538127248169,-3.6520434738442504,-7.112744135212182,0.5025932607504082,0.08642846079832159
32,Global_Adaptive,5.53822460639653,-3.6496528273493816,-6.421381500708647,0.5632276762571395,0.09500047501073805
33,Global_Adaptive,5.029999641058441,-4.896324415562312,-6.407781610667729,0.7298141456313881,0.08496264944284215
35,Global_Adaptive,5.7820085115042446,-4.516887548466996,-6.930919669047415,0.859554520580352,0.11042618451456962
36,Phased_Adaptive,5.54586142617918,-5.6234416566194225,-7.534243027719872,0.8395903879135855,0.054575554597998364
37,Phased_Adaptive,6.179285767699521,-3.7190072702716725,-6.485539916344249,0.5402216583426279,0.09273046048245825
38,Phased_Adaptive,5.995881837750555,-5.678944751376466,-7.487481157525153,0.5145698014913769,0.07018121993283448
40,Phased_Adaptive,4.030492672203067,-3.4200697952819272,-7.095715311282632,0.4329496431688746,0.06382792916757436
