Demo_ID,Group,Phase_Label,Target_Arm,Smoothness,SPARC,Ellipsoid_Volume_95,Kinematic_SampEn,Segment_Path_Length,Total_Path_Length
0,Global_Adaptive,1,R,5.053522284750293,-3.1949082571666483,-7.601518176590321,0.8109302162163288,0.011558079310751946,0.011558079310751946
1,Global_Adaptive,1,R,5.036502564393013,-4.569185764705336,-8.309075567210716,,0.006851618360755191,0.006851618360755191
2,Global_Adaptive,1,R,5.332318466471118,-5.143916183160211,-8.259298284392672,0.8472978603872037,0.00829685904863584,0.00829685904863584
3,Global_Adaptive,1,R,4.620250508309149,-4.0811354126136345,-7.974162583649854,0.6931471805599453,0.010669054905899377,0.010669054905899377
4,Global_Adaptive,1,R,4.9280642162128085,-5.364755012316752,-7.685570731918625,0.5020919437972361,0.010282020582179646,0.010282020582179646
5,Phased_Adaptive,1,R,0.377733454079044,-3.8999245428920783,-9.636597471587619,,0.003375442662763092,0.003375442662763092
6,Phased_Adaptive,1,R,1.1345650822458526,-4.365999612818459,-8.661640030723873,,0.003624187432595134,0.003624187432595134
7,Phased_Adaptive,1,R,1.2075933296722836,-3.88775421105058,-8.458792905307945,,0.00424273748473782,0.00424273748473782
8,Phased_Adaptive,1,R,0.4812109736906452,-4.4450275518279785,-9.025729565600162,,0.0024919669111361817,0.0024919669111361817
9,Phased_Adaptive,1,R,1.1744014687972621,-4.653882233342662,-9.007850201959476,,0.0024297517477610804,0.0024297517477610804
10,Global_Adaptive,1,R,4.592172845343359,-2.905371846044934,-6.886607457758095,1.3862943611198906,0.01464675249164895,0.01464675249164895
12,Global_Adaptive,1,R,1.5863699552233428,-4.480135968705319,-8.890066782252273,,0.005134609840532337,0.005134609840532337
13,Global_Adaptive,1,R,2.0808928527507593,-4.073284168203867,-8.32830191153469,,0.004586094547893959,0.004586094547893959
14,Global_Adaptive,1,R,3.571648046942895,-5.670815025240032,-8.318590933957164,1.3862943611198906,0.004898320691941977,0.004898320691941977
15,Phased_Adaptive,1,R,1.6019732201781032,-3.6746157798413392,-9.274932962703563,,0.002292432420463939,0.002292432420463939
22,Global_Adaptive,1,R,3.3342978276682462,-4.860732887637807,-8.01352185569432,0.6931471805599453,0.007295702119990456,0.007295702119990456
23,Global_Adaptive,1,R,3.1032493471194873,-3.903421722915958,-7.9800409170290445,,0.00790830522861035,0.00790830522861035
25,Global_Adaptive,1,R,2.6659034366125094,-4.058043891586987,-6.745632301078737,,0.018033112729185223,0.018033112729185223
26,Phased_Adaptive,1,R,1.7683028317169303,-4.002070257588664,-8.538309385291956,,0.003997072876307111,0.003997072876307111
27,Phased_Adaptive,1,R,2.6236888507977425,-5.498393643989104,-9.059730294084991,0.2876820724517809,0.002549292114576455,0.002549292114576455
29,Phased_Adaptive,1,R,4.005379272964813,-4.696812750040403,-7.397364393314729,,0.009893259903267441,0.009893259903267441
31,Global_Adaptive,1,R,0.4401092691094375,-2.8744444487272958,-9.36240021480957,,0.002026713805351586,0.002026713805351586
32,Global_Adaptive,1,R,4.824023022984657,-3.924911998646267,-7.400685873754566,0.8109302162163288,0.014046948201140582,0.014046948201140582
33,Global_Adaptive,1,R,3.34354275374826,-3.583607341920572,-7.372213635201078,0.6931471805599453,0.010130793781816187,0.010130793781816187
35,Global_Adaptive,1,R,3.139884520248744,-4.427487409280734,-8.700288993571732,1.0986122886681098,0.0053515224828302385,0.0053515224828302385
36,Phased_Adaptive,1,R,4.502809138739886,-8.480492097532172,-9.87800935426439,0.6931471805599453,0.0010314764857614327,0.0010314764857614327
37,Phased_Adaptive,1,R,5.273391078239987,-4.642904021652464,-6.797952889437817,0.7339691750802004,0.015240456476114878,0.015240456476114878
38,Phased_Adaptive,1,R,3.524709203827256,-7.481421649047778,-9.33317695728627,0.3794896217049037,0.0026785562055564836,0.0026785562055564836
40,Phased_Adaptive,1,R,1.5627853308065156,-2.737320615348591,-8.037716933532712,,0.008442472807740728,0.008442472807740728
