Demo_ID,Group,Phase_Label,Target_Arm,Smoothness,SPARC,Ellipsoid_Volume_95,Kinematic_SampEn,Segment_Path_Length,Total_Path_Length
0,Global_Adaptive,5,L,3.2524039096043302,-3.5996876001262015,-7.88083658895209,,0.007563158621535235,0.007563158621535235
1,Global_Adaptive,5,L,5.554317975033167,-3.9845350110379694,-6.58477456883857,0.661398482245365,0.02769166823380282,0.02769166823380282
2,Global_Adaptive,5,L,4.64320318798944,-2.4403777236630138,-7.302796772132627,0.916290731874155,0.016622638871592873,0.016622638871592873
3,Global_Adaptive,5,L,3.477524055896786,-3.8049907372279597,-6.7084863054572965,0.6931471805599453,0.02281594296407099,0.02281594296407099
4,Global_Adaptive,5,L,3.938205173464726,-4.391658564228935,-7.763364404606258,,0.009307726965934468,0.009307726965934468
5,Phased_Adaptive,5,L,2.3013601928401064,-9.210239186411163,-7.608434285704029,,0.00903577350062323,0.00903577350062323
7,Phased_Adaptive,5,L,2.6118941523248305,-6.900489579450195,-8.129794423030766,0.4353180712578455,0.007695350623751147,0.007695350623751147
10,Global_Adaptive,5,L,3.370583755285682,-6.921290003584705,-9.433224952409004,0.2962658161431724,0.0017738802246898043,0.0017738802246898043
12,Global_Adaptive,5,L,4.9006123586187895,-5.572166600790473,-7.718402150959204,1.9459101490553135,0.009397437612873453,0.009397437612873453
13,Global_Adaptive,5,L,6.0446647864075755,-3.862956395389779,-5.397794986242467,0.6931471805599453,0.05198089103265113,0.05198089103265113
14,Global_Adaptive,5,L,4.278183005361454,-3.824920719386989,-7.819504396798103,1.0986122886681098,0.012254535466936176,0.012254535466936176
15,Phased_Adaptive,5,L,5.029644971548331,-3.285893745043942,-7.036217635213348,0.570544858467613,0.018283307000085583,0.018283307000085583
20,Phased_Adaptive,5,L,3.8338795241307135,-4.217693687334423,-7.744893255304884,0.2876820724517809,0.010240322364686317,0.010240322364686317
22,Global_Adaptive,5,L,3.047273052876847,-6.025271770009348,-7.800340983806512,,0.007585993895295686,0.007585993895295686
23,Global_Adaptive,5,L,3.4547838211263264,-4.896122952159733,-7.9568411225591085,,0.007253889213587646,0.007253889213587646
25,Global_Adaptive,5,L,1.8992861717553624,-4.265211703264288,-7.536618263922976,,0.007893695156088669,0.007893695156088669
26,Phased_Adaptive,5,L,1.8848624816765307,-3.1469346922548382,-7.891864394803742,,0.006452211147384606,0.006452211147384606
27,Phased_Adaptive,5,L,3.1953597100835913,-4.245800184605239,-7.125209520820822,,0.01247107680188821,0.01247107680188821
29,Phased_Adaptive,5,L,0.7351115446298107,-3.556773548685851,-8.652993676205877,,0.003238712392588103,0.003238712392588103
31,Global_Adaptive,5,L,6.92687992794356,-4.359763562653579,-6.125107491974927,0.5151640253645889,0.03573877098603251,0.03573877098603251
32,Global_Adaptive,5,L,5.106644215366332,-3.7497243618999954,-6.6680300772511725,0.40546510810816444,0.025572218741211336,0.025572218741211336
33,Global_Adaptive,5,L,4.419108614784685,-5.037028976866056,-6.28910585441338,1.0986122886681098,0.01972995720542943,0.01972995720542943
35,Global_Adaptive,5,L,6.501917404172749,-5.473033189083651,-6.796364137340616,1.1192315758708455,0.03228125255075057,0.03228125255075057
36,Phased_Adaptive,5,L,5.977449958405613,-4.003964557825107,-6.138979102058068,0.6729444732424258,0.03146041145740969,0.03146041145740969
37,Phased_Adaptive,5,L,6.881592402881237,-3.662937792679205,-5.844152093307848,0.6090640633494039,0.0536113064008829,0.0536113064008829
38,Phased_Adaptive,5,L,7.271074925588461,-4.856718353359052,-6.801521169350144,0.36485038895397415,0.025537618110754844,0.025537618110754844
40,Phased_Adaptive,5,L,3.6991760812917502,-4.066636852914806,-7.064862944940214,0.5389965007326869,0.012209031961354522,0.012209031961354522
