Demo_ID,Group,Phase_Label,Gracefulness,Smoothness,Pupil_Variation_Rate,Static_Entropy,Transition_Entropy
0,Global_Adaptive,1,3.3211255912786255,-1.921161415547528,0.03802711821796828,3.0728926720076015,0.306510316144172
0,Global_Adaptive,3,3.147353582023647,-1.2116065623044112,0.029939304540238416,5.363290347842256,1.1784416326514502
0,Global_Adaptive,5,3.224869533267319,-4.0308452315562935,0.015558399706039672,4.92923650559307,1.1824695593741232
1,Global_Adaptive,1,3.3724597057243164,-1.6938811463658956,0.019114961673641417,5.776646893881586,1.3698166338016569
1,Global_Adaptive,3,3.328696949824866,0.28323572838549,0.041057932412717935,5.476350754579618,0.7037104916989301
1,Global_Adaptive,5,3.3846595049662636,-1.3517696382370448,0.033469595328804155,6.101055677039893,1.2041809577669822
2,Global_Adaptive,1,3.288101824837202,-1.6807914490912164,0.04570223617984992,3.704792254275151,0.3691155111331535
2,Global_Adaptive,3,3.19541184452258,-2.2874100664110255,0.041217334872540555,5.691911314351301,1.2081076533796802
2,Global_Adaptive,5,3.354831119208826,-2.6439207155219835,0.03200272125759698,5.618004048217097,1.0075400069521345
3,Global_Adaptive,1,2.9886173863858985,-2.628993185987592,0.03076556955699536,3.39998355863609,0.44044670142786757
3,Global_Adaptive,3,3.2290272320817563,-1.273820075308805,0.04102142663587478,5.80502289369133,0.9402331446101639
3,Global_Adaptive,5,2.833780219095469,-3.5543804018316822,0.02979192103459364,5.050222422004224,0.8660040029112096
4,Global_Adaptive,1,3.179396278717152,-2.115141091021421,0.04135033843543401,2.571489148221418,0.31529836821234525
4,Global_Adaptive,3,3.228098050789788,0.23928919813907545,0.03532463960001517,5.299568134130885,0.6657342231550688
4,Global_Adaptive,5,3.2856740499280175,-5.2166960411066725,0.023221021286715625,4.843460131339956,1.0179039680753166
4,Global_Adaptive,5,3.6980076058420326,-5.513522808712542,0.022116215473574657,4.457868096041213,1.3028708996242375
5,Phased_Adaptive,1,2.6340647143107274,-6.687292845703647,0.013749889523265089,4.609090414588857,0.8593906161433418
5,Phased_Adaptive,3,3.3288020047820313,-1.9678907322515022,0.0377616930770132,5.705381514605035,1.083186683135675
5,Phased_Adaptive,5,3.196180922614289,-3.6444916021111236,0.026661249755668852,5.375198059186877,1.2528013616056433
6,Phased_Adaptive,1,2.8303761898973936,-6.2789551661138585,0.04837593209753386,3.8336170213883873,0.8571326140725416
6,Phased_Adaptive,3,3.0256568451181014,-3.475404391570568,0.032027097085423166,5.6212330794256875,0.9556087749340895
6,Phased_Adaptive,5,,,0.02263306485727234,4.606739354015321,0.5185185185185185
7,Phased_Adaptive,1,3.0219008138385273,-6.172064643338972,0.022139942359539817,4.771711497294859,0.7813613213051148
7,Phased_Adaptive,3,2.8558129762496116,-3.811650115177202,0.028511389284410733,5.288313454675016,0.8117640939775267
7,Phased_Adaptive,5,3.1338730213702117,-3.6179623625552244,0.02611753379731864,5.065789131357492,1.3058146063429403
8,Phased_Adaptive,1,3.235951058815407,-6.579908167800138,0.03745552454612993,3.857079494455073,0.6839511255730004
8,Phased_Adaptive,3,3.175891948811951,-3.5100806047783792,0.04532089674791847,4.702308142601909,0.742594814460976
8,Phased_Adaptive,5,,,0.011163918564514977,4.132944044980959,0.6153846153846154
9,Phased_Adaptive,1,2.9924048696954695,-6.448083790152221,0.047368766497057,4.358242691024847,0.6815915870794635
9,Phased_Adaptive,3,3.0672769044340384,-4.043586851560579,0.025869288459465827,5.880532046978828,1.1196072763661429
9,Phased_Adaptive,5,,,0.025555167502951566,4.0536606896881855,0.5901955000865386
10,Global_Adaptive,1,2.317207561588759,-5.716767078117286,0.03360862012545888,4.089661719245795,0.8849078584993862
10,Global_Adaptive,1,3.1219566281950564,-5.13032094586242,0.03858749808072172,5.076725395303505,0.8978923270046211
10,Global_Adaptive,3,3.1199540355502435,1.8345223590409927,0.04505544642134287,5.312872754523783,0.46131355265442425
10,Global_Adaptive,5,3.873494755140338,-3.6091482846895966,0.02653709192482829,5.404735941239735,0.8356258577532938
11,Global_Adaptive,1,3.205978718167006,-4.371996116763274,0.014590811155567063,4.94827048912074,1.3952189517944904
11,Global_Adaptive,3,2.744436865012192,-0.5543846472510752,0.03731023587207892,5.271471317930728,0.8308200973014074
11,Global_Adaptive,3,2.8104278000881813,-6.669877994419959,0.016010202901415218,4.773557262275185,0.5039805159587916
11,Global_Adaptive,3,,,0.011783713675914442,4.001629167387823,0.5518796874098555
11,Global_Adaptive,5,3.636221441745616,-1.39022703344892,0.04589519275232797,4.870818411230251,0.5580985368897711
12,Global_Adaptive,1,2.6298203988090085,-5.508534933957815,0.025200265314396612,4.97114588295836,1.0646879293549851
12,Global_Adaptive,3,3.0662093539894366,-0.6171494641757327,0.0639806972634046,5.340235574713122,0.7729498710958707
12,Global_Adaptive,3,3.2836436397336994,-3.121253867195417,0.028782761331880412,5.415460157955976,0.7346035069410743
12,Global_Adaptive,5,3.2879719063517916,-1.9296469926910875,0.012933678105700966,5.915574915667186,1.0049026110584776
13,Global_Adaptive,1,2.899956506878755,-4.667167135323613,0.023290535607305797,3.737349131620979,0.41040592216136856
13,Global_Adaptive,3,2.8568169845119686,-1.8032291016888824,0.01703880124649039,5.760954622909855,0.7387192119105714
13,Global_Adaptive,5,3.207184228768286,-1.8526466244200497,0.033550217088561214,5.399296193391114,0.6236459327898706
13,Global_Adaptive,5,,,0.023541646288469577,4.593400348604439,0.8055555555555556
14,Global_Adaptive,1,3.1108462991244563,-3.399238319095761,0.037831475445676464,4.8818473755468155,1.2139680527727936
14,Global_Adaptive,3,2.9221992456444745,0.2087287465685873,0.03367209138932438,5.544757933318103,0.5701949896466855
14,Global_Adaptive,3,2.909435510124892,-6.9965809283255975,0.005735508665112606,4.214262795507958,0.8251328443991249
14,Global_Adaptive,3,2.927431937029976,-6.344748268896705,0.011238607670252098,4.311705591912579,0.6739338179526304
14,Global_Adaptive,5,2.9413070862605784,-3.2043018330649313,0.021187460306859026,4.590074726188159,0.6845286780403887
15,Phased_Adaptive,1,3.2862945384937596,-5.534031120471449,0.03776161303083819,5.13901079544782,0.9404058212773567
15,Phased_Adaptive,3,3.111916335362003,0.7327537637077288,0.05276702570132822,6.193910770979814,1.4909988521045998
15,Phased_Adaptive,5,3.6019309949287006,-1.863026005572231,0.035118646547248576,4.668958374500113,0.7823450127351583
16,Phased_Adaptive,1,3.6208039473587204,-2.4617002715407255,0.033200947961292096,5.500397112182411,1.2904737842460736
16,Phased_Adaptive,3,3.168885430299678,1.3356144531112066,0.04821909431948675,6.070997433852239,1.5548311908395895
16,Phased_Adaptive,5,3.240946596175059,-1.515985362617953,0.03899818821967327,5.664428705109981,1.3655472716056458
17,Phased_Adaptive,1,3.3130462468073683,-2.6955192557913885,0.04742026105064631,5.222928279247752,1.3460732845715757
17,Phased_Adaptive,3,3.0387246177767704,-1.0474135010308658,0.030351955994354016,5.426844326173715,0.9673715536833967
17,Phased_Adaptive,3,3.0843899104521766,-2.3625069263364216,0.03467011513850992,5.850425674250962,1.2906697321475011
17,Phased_Adaptive,5,2.5706015860798965,-6.226543300798962,0.01689675694420281,5.208868095990993,0.9068728097513215
17,Phased_Adaptive,5,3.286809846736632,-0.24912950792996483,0.0382086846843897,5.941713362854185,1.1328307237795314
17,Phased_Adaptive,5,,,0.021857072999768506,3.630275354881977,0.708126499213472
18,Phased_Adaptive,1,3.1344824661427326,-4.559691472951276,0.027665329016328174,5.07898070192888,1.0560138765607623
18,Phased_Adaptive,3,3.03774926678183,1.1900787365419776,0.033693824995230416,5.545961333226505,0.6523938294388424
18,Phased_Adaptive,5,,,0.004803436934444896,3.1258145836939115,1.3920795639257109
18,Phased_Adaptive,5,3.471938525825975,-0.4531367154123037,0.02660880316897751,5.545008521833026,0.7884938480062069
19,Phased_Adaptive,1,3.3262150938437873,-2.361104382748772,0.04786122171892872,3.759852098510149,0.8075719465875756
19,Phased_Adaptive,3,3.050219786683833,1.7739525495655077,0.03835978428900889,5.793369021061456,1.4052324884990357
19,Phased_Adaptive,3,3.30074513539778,-3.960776928116318,0.04325120832200547,5.230720224334542,1.1456235764754994
19,Phased_Adaptive,5,3.3428395480346538,-2.0596746719342685,0.03747684732836644,5.0996473248964564,1.1873715744937965
20,Phased_Adaptive,1,,,0.023967745176046877,4.269999632950686,0.6660537911607154
20,Phased_Adaptive,3,2.9157974813820333,-0.5056836668999358,0.037419019128004535,6.187248582029276,1.4983770315155944
20,Phased_Adaptive,3,2.2618472064846733,-5.607746613989913,0.014194052519670172,4.993120210490968,1.0267159659023781
20,Phased_Adaptive,5,2.56045721228719,-5.224648517433967,0.030771491253694803,5.157218921475414,1.0376629356866316
20,Phased_Adaptive,5,3.4048649647785485,-3.512487628600333,0.026523067601762224,5.81548594435128,1.3866897046591447
21,Global_Adaptive,1,2.9130698709476346,-6.3381397098056045,0.022574804938566506,3.32389804351832,0.9210542847695248
21,Global_Adaptive,3,2.7788087381979816,-1.7690581722973644,0.018877337431029175,5.366356914513799,1.2574425232762343
21,Global_Adaptive,5,2.48480451764885,-5.824080767371431,0.01983424679409041,4.6393080301830025,0.6893233335256415
22,Global_Adaptive,1,3.3206237554381053,-3.346808026748299,0.02068728105256243,2.6766751202222867,0.18310447430425533
22,Global_Adaptive,3,2.8779014726282055,-2.505945789008994,0.015666631826420297,5.301550698917356,0.7868774961732433
22,Global_Adaptive,3,3.012503878709139,-6.491271172862319,0.008571959407367798,3.85586569475248,0.9374794994390359
