fold,overall_frame_acc,mean_bound_f1,mean_edit_score,mean_f1@0.10,mean_f1@0.25,mean_f1@0.50,mean_ose
1,0.906586,0.824320,76.660007,0.856863,0.856863,0.798896,0.377551
2,0.898066,0.878912,84.459707,0.907983,0.903519,0.838730,0.229592
3,0.904196,0.900255,86.201576,0.916775,0.911673,0.872046,0.214286
4,0.904857,0.857787,82.264888,0.893759,0.877474,0.828437,0.260204
5,0.882885,0.870395,82.972583,0.901266,0.891346,0.833865,0.235450
MEAN,0.899318,0.866334,82.511752,0.895329,0.888175,0.834395,0.263416
STD,0.008706,0.025154,3.222594,0.020676,0.019455,0.023377,0.058953
